Question,OptionA ,OptionB ,OptionC ,OptionD ,Answer
What sort of animal is Walt Disney's Dumbo?,Deer ,Rabbit ,Elephant ,Donkey ,C
What was the name of the Spanish waiter in the TV sitcom 'Fawlty Towers'? ,Manuel ,Pedro ,Alfonso ,Javier ,A
Which former Beatle narrated the TV adventures of Thomas the Tank Engine? ,John Lennon ,Paul McCartney ,George Harrison ,Ringo Star ,D
Which is the largest city in the USA's largest state by area? ,Dallas ,New York ,Los Angeles ,Anchorage ,D
What are Suffolk Punch and Hackney? ,Carriage ,Wrestling Style ,Horse ,Cocktail ,C
Which Shakespeare play features the line 'Neither a borrower nor a lender be'? ,Hamlet ,Macbeth ,Othello ,The Merchant of Venice ,A
Queen Anne was the daughter of which English Monarch? ,James II ,Henry VIII ,Victoria ,William I ,A
This girl lived in Morristown during the American Revolution and became a hero for refusing to hand over her prized horse to Continental soldiers who had mutinied. What was her name? ,Margaret Corbin ,Temperance Wick ,Margaret Hill Morris ,Sybil Ludington ,B
How many grievances were listed against the King of England in the Declaration of Independence? ,48,27,34,52,B
How many countries did Britain fight against in the Revolutionary War? ,4,5,6 or more ,2,C
A monument in the shape of a boot honors a famous Continental soldier?s wounded foot and is located at the Saratoga National Historical Park. What soldier does the memorial commemorate? ,Charles Pickney ,Benedict Arnold ,Thaddeus Koscuszko ,George Rogers Clark ,B
General Burgoyne marched down from Lake Champlain to take what important city in New York in the belief that it would end the war in one stroke? ,New York City ,Saratoga ,Albany ,Buffalo ,C
Which Union Army General later became President of the United States? ,Jefferson Davis ,James Garfield ,Braxton Bragg ,Ulysses S. Grant ,D
Which infantry assault ended in tragedy for the Confederacy during the Battle of Gettysburg? ,Cemetery Ridge ,Pickett's Charge ,Oak Ridge ,McPherson Ridge ,B
Who was a well-known nurse during the Civil War who later started the American Red Cross? ,Louisa May Alcott ,Dorothea Dix ,Clara Barton ,Kate Cummings ,C
What British policy towards the Colonies changed after the outcome of the French and Indian War? ,The Stamp Act ,Salutary Neglect ,The Navigation Acts ,Free Trade ,B
Who was known as the 'Financier of the Revolution?' ,Benjamin Franklin ,Governeur Morris ,Robert Morris ,Sam Adams ,C
What was the purpose of the Annapolis Convention? ,To repeal the Stamp Acts ,To consider changes to the Articles of Confederation ,To raise funding for the Continental Army ,To ask France for financial support ,B
What were the colors worn by the two sides during the Civil War? ,Navy and Brown ,Black and Gray ,Gray and Navy ,Red and Navy ,C
Who was the first casualty of the Boston Massacre? ,Samuel Gray ,Patrick Carr ,James Caldwell ,Crispus Attucks ,D
Which of the following diseases did soldiers suffer from during the Civil War? ,Typhoid Fever ,Salmonella ,Alzheimer's ,Yellow Fever ,A
What color were the British uniforms during the Revolutionary War? ,Navy ,Red ,Green ,Gray ,B
Who was the king of England during the Revolutionary War? ,King George II ,King Edward IV ,King William III ,King George III ,D
Whose signature is the most noticeable on the Declaration of Independence? ,Thomas Jefferson ,John Adams ,John Hancock ,Benjamin Franklin ,C
What were Ethan Allen's men called? ,Green Mountain Boys ,Adirondack Mountain Boys ,Vermont Boys ,Blue Mountain Boys ,A
Who was the first woman to fly solo across the Atlantic Ocean? ,Amelia Earhart ,Bessie Coleman ,Harriet Quimby ,Jacqueline Cochran ,A
What is the only mammal capable of true flight (not gliding)? ,Flying fox ,Colugo ,Flying squirrel ,Bat ,D
What is the name of the smallest species of penguin? ,Little penguin ,Adelie penguin ,Chinstrap penguin ,Gentoo penguin ,A
Which animal possesses the largest brain relative to its body size? ,Elephant ,Sperm whale ,Dolphin ,Gorilla ,B
What is the capital city of New Zealand? ,Auckland ,Christchurch ,Wellington ,Queenstown ,C
Which city in India is home to the iconic Taj Mahal? ,Delhi ,Mumbai ,Agra ,Jaipur ,C
What is the most populous city in Africa considering population within city limits? ,Cairo ,Johannesburg ,Lagos ,Kinshasa ,C
What city is recognized as the northernmost capital city worldwide? ,Helsinki ,Stockholm ,Oslo ,Reykjavik ,D
